Hour,FPR_Query,FNR_Query,FPR_Insert,FNR_Insert,FPR_Delete,FNR_Delete,Inserts,Deletes,Queries,Insert_Rate,Delete_Rate,Query_Rate
345,0,0,0,0,0,0,2769,372,788,6.7046,0.9007,1.908
346,0,0,0,0,0.0026,0,2740,381,808,6.6344,0.9225,1.9564
347,0,0,0,0.0004,0,0,2729,412,788,6.6077,0.9976,1.908
348,0,0,0,0.0004,0,0,2712,413,804,6.5666,1,1.9467
349,0,0,0,0.0004,0,0,2796,360,773,6.77,0.8717,1.8717
350,0,0,0,0,0.0026,0,2737,391,801,6.6271,0.9467,1.9395
351,0,0,0,0.0004,0,0,2767,391,771,6.6998,0.9467,1.8668
352,0,0,0,0,0.0025,0,2733,393,803,6.6174,0.9516,1.9443
353,0,0,0,0.0004,0,0,2749,383,797,6.6562,0.9274,1.9298
354,0,0,0,0.0004,0,0,2738,395,796,6.6295,0.9564,1.9274
355,0,0,0,0,0.0027,0,2792,370,767,6.7603,0.8959,1.8571
356,0,0,0,0.0004,0,0,2754,400,775,6.6683,0.9685,1.8765
357,0,0,0,0.0004,0,0,2805,384,740,6.7918,0.9298,1.7918
358,0,0,0,0.0004,0,0,2746,400,783,6.6489,0.9685,1.8959
359,0,0,0,0.0004,0,0,2732,402,795,6.615,0.9734,1.9249
360,0,0,0,0.0004,0,0,2707,418,804,6.5545,1.0121,1.9467
361,0,0,0,0,0.0025,0,2804,393,732,6.7893,0.9516,1.7724
362,0,0,0,0.0004,0,0,2767,377,785,6.6998,0.9128,1.9007
363,0,0,0,0,0,0,2733,406,790,6.6174,0.9831,1.9128
364,0,0,0,0.0004,0,0,2709,439,781,6.5593,1.063,1.891
365,0,0,0,0.0004,0,0,2717,405,807,6.5787,0.9806,1.954
366,0,0,0,0.0004,0,0,2776,400,753,6.7215,0.9685,1.8232
367,0,0,0,0,0,0,2736,365,828,6.6247,0.8838,2.0048
368,0,0,0,0.0004,0,0,2743,386,800,6.6416,0.9346,1.937
369,0,0,0,0,0.0025,0,2762,396,771,6.6877,0.9588,1.8668
370,0,0,0,0,0.0026,0,2753,388,788,6.6659,0.9395,1.908
371,0,0,0,0.0004,0,0,2757,380,792,6.6755,0.9201,1.9177
372,0,0,0,0.0004,0,0,2727,398,804,6.6029,0.9637,1.9467
373,0,0,0,0,0,0,2764,411,754,6.6925,0.9952,1.8257
374,0,0,0,0,0,0,2729,389,811,6.6077,0.9419,1.9637
375,0,0,0,0.0004,0,0,2768,363,798,6.7022,0.8789,1.9322
376,0,0,0,0,0.0026,0,2755,392,782,6.6707,0.9492,1.8935
377,0,0,0,0.0004,0,0,2714,392,823,6.5714,0.9492,1.9927
378,0,0,0,0.0004,0,0,2707,397,825,6.5545,0.9613,1.9976
379,0,0,0,0,0,0,2743,387,799,6.6416,0.937,1.9346
380,0,0,0,0.0004,0,0,2743,407,779,6.6416,0.9855,1.8862
381,0,0,0,0.0004,0,0,2782,397,750,6.7361,0.9613,1.816
382,0,0,0,0.0004,0,0,2807,378,744,6.7966,0.9153,1.8015
383,0,0,0,0,0.0026,0,2737,383,809,6.6271,0.9274,1.9588
384,0,0,0,0.0004,0,0,2714,412,803,6.5714,0.9976,1.9443
385,0,0,0,0,0.0025,0,2695,406,828,6.5254,0.9831,2.0048
386,0,0,0,0.0004,0,0,2770,396,763,6.707,0.9588,1.8475
387,0,0,0,0,0,0,2780,392,757,6.7312,0.9492,1.8329
388,0,0,0,0,0.0025,0,2735,406,788,6.6223,0.9831,1.908
389,0,0,0,0,0.0027,0,2763,377,789,6.6901,0.9128,1.9104
390,0,0,0,0.0004,0,0,2781,361,787,6.7337,0.8741,1.9056
391,0,0,0,0.0004,0,0,2770,374,785,6.707,0.9056,1.9007
392,0,0,0,0.0004,0,0,2768,407,754,6.7022,0.9855,1.8257
393,0,0,0,0.0004,0,0,2787,407,735,6.7482,0.9855,1.7797
394,0,0,0,0.0004,0,0,2745,396,788,6.6465,0.9588,1.908
395,0,0,0,0.0004,0,0,2737,409,783,6.6271,0.9903,1.8959
396,0,0,0,0.0004,0,0,2767,365,797,6.6998,0.8838,1.9298
397,0,0,0,0,0,0,2741,398,790,6.6368,0.9637,1.9128
398,0,0,0,0.0004,0,0,2738,362,829,6.6295,0.8765,2.0073
399,0,0,0,0.0004,0,0,2743,405,781,6.6416,0.9806,1.891
400,0,0,0,0.0004,0,0,2809,387,733,6.8015,0.937,1.7748
401,0,0,0,0.0004,0,0,2759,392,778,6.6804,0.9492,1.8838
402,0,0,0,0.0004,0,0,2718,414,797,6.5811,1.0024,1.9298
403,0,0,0,0.0004,0,0,2751,414,764,6.661,1.0024,1.8499
404,0,0,0,0.0004,0,0,2734,397,798,6.6199,0.9613,1.9322
405,0,0,0,0.0004,0,0,2755,401,773,6.6707,0.9709,1.8717
406,0,0,0,0,0,0,2770,404,755,6.707,0.9782,1.8281
407,0,0,0,0.0004,0,0,2727,383,819,6.6029,0.9274,1.9831
408,0,0,0,0.0004,0,0,2768,380,781,6.7022,0.9201,1.891
409,0,0,0,0,0,0,2817,370,742,6.8208,0.8959,1.7966
410,0,0,0,0.0004,0,0,2766,405,758,6.6973,0.9806,1.8354
411,0,0,0,0.0004,0,0,2715,378,836,6.5738,0.9153,2.0242
412,0,0,0,0.0004,0,0,2715,406,808,6.5738,0.9831,1.9564
413,0,0,0,0,0,0,2758,391,780,6.678,0.9467,1.8886
414,0,0,0,0.0004,0,0,2728,404,797,6.6053,0.9782,1.9298
415,0,0,0,0,0,0,2732,375,822,6.615,0.908,1.9903
416,0,0,0,0.0004,0,0,2712,398,819,6.5666,0.9637,1.9831
417,0,0,0,0,0,0,2732,404,793,6.615,0.9782,1.9201
418,0,0,0,0.0004,0,0,2706,421,802,6.5521,1.0194,1.9419
419,0,0,0,0.0004,0,0,2774,392,763,6.7167,0.9492,1.8475
420,0,0,0,0.0004,0,0,2768,361,800,6.7022,0.8741,1.937
421,0,0,0,0.0004,0,0,2736,414,779,6.6247,1.0024,1.8862
422,0,0,0,0.0004,0,0,2793,336,800,6.7627,0.8136,1.937
423,0,0,0,0.0004,0,0,2801,409,719,6.7821,0.9903,1.7409
424,0,0,0,0,0,0,2745,379,805,6.6465,0.9177,1.9492
425,0,0,0,0.0004,0,0,2739,394,796,6.632,0.954,1.9274
426,0,0,0,0,0.0024,0,2788,411,730,6.7506,0.9952,1.7676
427,0,0,0,0,0.0023,0,2733,426,770,6.6174,1.0315,1.8644
428,0,0,0,0.0004,0,0,2760,385,784,6.6828,0.9322,1.8983
429,0,0,0,0,0.0025,0,2737,395,797,6.6271,0.9564,1.9298
430,0,0,0,0.0004,0,0,2754,392,783,6.6683,0.9492,1.8959
431,0,0,0,0.0004,0,0,2681,447,801,6.4915,1.0823,1.9395
432,0,0,0,0.0004,0,0,2747,381,801,6.6513,0.9225,1.9395
433,16384,32790,0,0.0004,0,0,2803,368,49932,6.7869,0.891,1.8354
434,0,0,0,0.0004,0,0,2688,432,808,6.5085,1.046,1.9564
435,0,0,0,0,0,0,2741,416,771,6.6368,1.0073,1.8668
436,0,0,0,0.0004,0,0,2714,430,784,6.5714,1.0412,1.8983
437,0,0,0,0.0004,0,0,2732,375,821,6.615,0.908,1.9879
438,0,0,0,0.0004,0,0,2718,412,798,6.5811,0.9976,1.9322
439,0,0,0,0.0004,0,0,2783,388,757,6.7385,0.9395,1.8329
440,0,0,0,0.0004,0,0,2736,410,782,6.6247,0.9927,1.8935
441,0,0,0,0,0,0,2730,398,800,6.6102,0.9637,1.937
442,0,0,0,0.0004,0,0,2759,417,752,6.6804,1.0097,1.8208
443,0,0,0,0.0004,0,0,2773,389,766,6.7143,0.9419,1.8547
444,0,0,0,0.0004,0,0,2760,372,796,6.6828,0.9007,1.9274
445,0,0,0,0.0004,0,0,2675,440,813,6.477,1.0654,1.9685
446,0,0,0,0.0004,0,0,2741,413,774,6.6368,1,1.8741
447,0,0,0,0.0004,0,0,2785,410,733,6.7433,0.9927,1.7748
448,0,0,0,0,0.0025,0,2736,403,789,6.6247,0.9758,1.9104
449,0,0,0,0,0,0,2723,413,792,6.5932,1,1.9177
450,0,0,0,0.0004,0,0,2773,363,792,6.7143,0.8789,1.9177
451,0,0,0,0,0,0,2740,397,791,6.6344,0.9613,1.9153
452,0,0,0,0.0004,0,0,2769,367,792,6.7046,0.8886,1.9177
453,0,0,0,0.0004,0,0,2767,405,756,6.6998,0.9806,1.8305
454,0,0,0,0.0004,0,0,2764,367,797,6.6925,0.8886,1.9298
455,0,0,0,0.0004,0,0,2769,387,772,6.7046,0.937,1.8692
456,0,0,0,0.0004,0,0,2791,367,770,6.7579,0.8886,1.8644
457,0,0,0,0,0,0,2728,395,805,6.6053,0.9564,1.9492
458,0,0,0,0.0004,0,0,2714,378,836,6.5714,0.9153,2.0242
459,0,0,0,0.0004,0,0,2733,377,818,6.6174,0.9128,1.9806
460,0,0,0,0.0004,0,0,2767,348,813,6.6998,0.8426,1.9685
461,0,0,0,0,0.0025,0,2771,395,762,6.7094,0.9564,1.845
462,0,0,0,0.0004,0,0,2753,406,769,6.6659,0.9831,1.862
463,0,0,0,0.0004,0,0,2714,408,806,6.5714,0.9879,1.9516
464,0,0,0,0.0004,0,0,2779,387,762,6.7288,0.937,1.845
465,0,0,0,0,0,0,2743,433,752,6.6416,1.0484,1.8208
466,0,0,0,0.0004,0,0,2715,380,833,6.5738,0.9201,2.0169
467,0,0,0,0.0004,0,0,2738,372,818,6.6295,0.9007,1.9806
468,0,0,0,0.0004,0,0,2714,413,801,6.5714,1,1.9395
469,0,0,0,0,0,0,2744,400,784,6.6441,0.9685,1.8983
470,0,0,0,0,0,0,2720,380,828,6.586,0.9201,2.0048
471,0,0,0,0,0,0,2723,373,832,6.5932,0.9031,2.0145
472,0,0,0,0.0004,0,0,2741,407,780,6.6368,0.9855,1.8886
473,0,0,0,0.0004,0,0,2770,399,759,6.707,0.9661,1.8378
474,0,0,0,0.0004,0,0,2730,427,771,6.6102,1.0339,1.8668
475,0,0,0,0.0004,0,0,2763,372,793,6.6901,0.9007,1.9201
476,0,0,0,0,0.0025,0,2715,394,819,6.5738,0.954,1.9831
477,0,0,0,0,0.0028,0,2769,363,796,6.7046,0.8789,1.9274
478,0,0,0,0.0004,0,0,2750,393,785,6.6586,0.9516,1.9007
479,0,0,0,0,0,0,2692,417,819,6.5182,1.0097,1.9831
480,0,0,0,0.0004,0,0,2729,417,782,6.6077,1.0097,1.8935
481,0,0,0,0.0004,0,0,2726,389,813,6.6005,0.9419,1.9685
482,0,0,0,0.0004,0,0,2760,396,772,6.6828,0.9588,1.8692
483,0,0,0,0.0004,0,0,2771,383,774,6.7094,0.9274,1.8741
484,0,0,0,0.0004,0,0,2757,384,787,6.6755,0.9298,1.9056
485,0,0,0,0.0004,0,0,2789,412,727,6.753,0.9976,1.7603
486,0,0,0,0.0004,0,0,2739,393,796,6.632,0.9516,1.9274
487,0,0,0,0.0004,0,0,2761,413,754,6.6852,1,1.8257
488,0,0,0,0.0004,0,0,2754,363,811,6.6683,0.8789,1.9637
489,0,0,0,0.0004,0,0,2791,376,761,6.7579,0.9104,1.8426
490,0,0,0,0.0004,0,0,2772,394,762,6.7119,0.954,1.845
491,0,0,0,0,0,0,2730,388,810,6.6102,0.9395,1.9613
492,0,0,0,0.0004,0,0,2744,402,782,6.6441,0.9734,1.8935
493,0,0,0,0.0004,0,0,2795,350,783,6.7676,0.8475,1.8959
494,0,0,0,0.0004,0,0,2745,390,793,6.6465,0.9443,1.9201
495,0,0,0,0.0004,0,0,2748,409,771,6.6538,0.9903,1.8668
496,0,0,0,0.0004,0,0,2725,410,793,6.5981,0.9927,1.9201
497,0,0,0,0,0,0,2686,409,833,6.5036,0.9903,2.0169
498,0,0,0,0,0,0,2756,385,787,6.6731,0.9322,1.9056
499,0,0,0,0,0,0,2755,379,794,6.6707,0.9177,1.9225
500,0,2,0,0,0,0,2761,353,814,0,0,0
